Länder,Sportart,event,Medallien,"Name Athlet",Geschlecht
MEX,Athletics,"Athletics Men's Cross-Country, Individual",,"Enrique Abaroa Martnez",M
CHI,Athletics,"Athletics Men's Cross-Country, Team",,"Carlos Arturo Abarza Chavez",M
ESP,Athletics,"Athletics Men's Discus Throw",,"Alejandro Abascal Garca",M
ESP,Athletics,"Athletics Men's Discus Throw",,"Alejandro Abascal Garca",M
ESP,Athletics,"Athletics Men's Discus Throw, Both Hands",,"Jos Manuel Abascal Gmez",M
URS,Athletics,"Athletics Men's Discus Throw, Greek Style",,"Rost'om Omeris dze Abashidze",M
URS,Athletics,"Athletics Men's Hammer Throw",,"Nunu Dzhansuhivna Abashydze (-Myslaieva)",F
CHI,Athletics,"Athletics Men's High Jump",,"Rodrigo Abasolo",M
RUS,Athletics,"Athletics Men's Javelin Throw",,"Tamila Rashidovna Abasova",F
ITA,Athletics,"Athletics Men's Javelin Throw, Both Hands",,"Emanuele Abate",M
ITA,Athletics,"Athletics Men's Javelin Throw, Freestyle",,"Ignazio Abate",M
FRA,Athletics,"Athletics Men's Long Jump",,"Jol Marc Abati",M
CHI,Athletics,"Athletics Men's Marathon",,"Ral Abatte",M
GRE,Athletics,"Athletics Men's Pentathlon",,"Georgia Abatzidou",F
NCA,Athletics,"Athletics Men's Pole Vault",,"Carlos Rodolfo Abaunza Balladares",M
NCA,Athletics,"Athletics Men's Shot Put",,"Carlos Alberto Abaunza",M
MEX,Athletics,"Athletics Men's Shot Put, Both Hands",,"Hctor Abaunza",M
MEX,Athletics,"Athletics Men's Shot Put, Both Hands",,"Hctor Abaunza",M
MEX,Athletics,"Athletics Men's Shot Put, Both Hands",,"Hctor Abaunza",M
HUN,Athletics,"Athletics Men's Standing Long Jump",,"Oszkr Abay-Nemes",M
NGR,Athletics,"Athletics Men's Standing Triple Jump",,"Adeyemi Abayomi",M
EGY,Athletics,"Athletics Men's Triple Jump",,"Sayed Fahmy Abaza",M
EGY,Athletics,"Athletics Men's Triple Jump",,"Sayed Fahmy Abaza",M
CHA,Athletics,"Athletics Women's 10 kilometres Walk",,"Gana Abba Kimet",M
ALG,Athletics,"Athletics Women's 10,000 metres",,"Ilyas Abbadi",M
ALG,Athletics,"Athletics Women's 10,000 metres",,"Ilyas Abbadi",M
ITA,Athletics,"Athletics Women's 100 metres Hurdles",,"Carmine Abbagnale",M
ITA,Athletics,"Athletics Women's 20 kilometres Walk",,"Giuseppe Abbagnale",M
KUW,Athletics,"Athletics Women's 200 metres",,"Abdul Latif Al-Sayed Abbas Youssef Hashem",M
KUW,Athletics,"Athletics Women's 200 metres",,"Abdul Latif Al-Sayed Abbas Youssef Hashem",M
KUW,Athletics,"Athletics Women's 200 metres",,"Abdul Latif Al-Sayed Abbas Youssef Hashem",M
BRN,Athletics,"Athletics Women's 3,000 metres",,"Abubakar Abbas Abbas",M
PAK,Athletics,"Athletics Women's 3,000 metres Steeplechase",,"Aqarab Abbas",M
IRQ,Athletics,"Athletics Women's 4 x 100 metres Relay",,"Aziz Abbas",M
IRQ,Athletics,"Athletics Women's 4 x 400 metres Relay",,"Bassim Abbas Kati Al-Ogaili",M
KUW,Athletics,"Athletics Women's 400 metres",,"Essa Abbas Faleh Hashem",M
PAK,Athletics,"Athletics Women's 400 metres Hurdles",,"Ghulam Abbas",M
UAR,Athletics,"Athletics Women's 5,000 metres",,"Hosni Mohamed Abbas",M
EGY,Athletics,"Athletics Women's 5,000 metres",,"Hosni Mohamed Abbas",M
LIB,Athletics,"Athletics Women's 80 metres Hurdles",,"Maher Abbas",M
LIB,Athletics,"Athletics Women's 80 metres Hurdles",,"Maher Abbas",M
EGY,Athletics,"Athletics Women's 800 metres",,"Mahmoud Abbas",M
EGY,Athletics,"Athletics Women's Discus Throw",,"Mohamed Fakhry Rifaat Abbas",M
IRQ,Athletics,"Athletics Women's Hammer Throw",,"Mohammed Abbas Sabih",M
QAT,Athletics,"Athletics Women's High Jump",,"Nader Sufyan Abbas",M
PAK,Athletics,"Athletics Women's Javelin Throw",,"Sohail Abbas",M
PAK,Athletics,"Athletics Women's Javelin Throw",,"Sohail Abbas",M
PAK,Athletics,"Athletics Women's Javelin Throw",,"Sohail Abbas",M
EGY,Athletics,"Athletics Women's Long Jump",,"Youssef Mohamed Abbas",M
MAS,Athletics,"Athletics Women's Marathon",,"Zulkifli Abbas",M
PAK,Athletics,"Athletics Women's Pole Vault",,"Shakeel Abbasi",M
PAK,Athletics,"Athletics Women's Pole Vault",,"Shakeel Abbasi",M
PAK,Athletics,"Athletics Women's Pole Vault",,"Shakeel Abbasi",M
IRI,Athletics,"Athletics Women's Shot Put",,"Soulmaz Abbasi Azad",F
AZE,Athletics,"Athletics Women's Triple Jump",,"Ruslan Abbasov",M
AZE,Badminton,"Badminton Men's Doubles",,"Tural Abbasov",M
AZE,Badminton,"Badminton Men's Singles",,"Tran Abbasova",F
ITA,Badminton,"Badminton Mixed Doubles",,"Simona Abbate",F
ITA,Badminton,"Badminton Women's Singles",,"Christian Abbiati",M
NED,Baseball,"Baseball Men's Baseball",,"Lois Abbingh",F
ITA,Basketball,"Basketball Men's Basketball",,"Alessandro Abbio",M
IRQ,"Beach Volleyball","Beach Volleyball Men's Beach Volleyball",,"Salwan Jasim Abbood Abbood",M
CAN,Boxing,"Boxing Men's Bantamweight",,"William "Bill" Abbott Jr.",M
CAN,Boxing,"Boxing Men's Bantamweight",,"William "Bill" Abbott Jr.",M
IRL,Boxing,"Boxing Men's Featherweight",,"Clare Abbott",F
IRL,Boxing,"Boxing Men's Featherweight",,"Clare Abbott",F
USA,Boxing,"Boxing Men's Flyweight",,"David "Dave" Abbott",M
RSA,Boxing,"Boxing Men's Light-Flyweight",,"Geoffrey Grant Abbott",M
CAN,Boxing,"Boxing Men's Light-Middleweight",,"Jeremy Abbott",M
CAN,Boxing,"Boxing Men's Lightweight",,"Joanne Abbott",F
CAN,Boxing,"Boxing Men's Light-Welterweight",,"Kathryn "Katie" Abbott",F
USA,Boxing,"Boxing Men's Middleweight",,"Mara Katherine Abbott",F
CAN,Boxing,"Boxing Women's Flyweight",,"Matt Abbott",M
MAR,Boxing,"Boxing Women's Middleweight",,"Khadija Abbouda",F
EGY,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,"Mohamed Ibrahim Abd El-Fatah Mohamed",M
EGY,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,"Mohamed Ibrahim Abd El-Fatah Mohamed",M
EGY,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,"Mohamed Ibrahim Abd El-Fatah Mohamed",M
EGY,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",,"Mahmoud Abd El-Kader",M
EGY,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",,"Mohamed Ibrahim Abd El-Salam",M
EGY,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",,"Mohamed Ibrahim Abd El-Salam",M
EGY,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",,"Noha Abd Rabo",F
EGY,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",,"Reem Wa'il Abdalazem Abdalazem El-Bossaty",F
EGY,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",,"Reem Wa'il Abdalazem Abdalazem El-Bossaty",F
EGY,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",,"Reem Wa'il Abdalazem Abdalazem El-Bossaty",F
ERI,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",,"Ali Abdalla Afringi",M
EGY,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",,"Hossam Abdalla",M
EGY,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",,"Hosam Abdallah",M
